Gene,Half-life (h)
mdoH,0.046666667
yceK,0.095
msyB,0.115
B1052,0.133333333
yceE,0.111666667
htrB,0.103333333
yceA,0.041666667
yceI,0.128333333
B1057,0.078333333
yceO,0.07
solA,0.066666667
yceP,0.125
dinI,0.073333333
pyrC,0.115
yceB,0.053333333
grxB,0
yceL,0.113333333
rimJ,0.048333333
yceH,0.088333333
mviM,0.086666667
mviN,0.083333333
flgN,0.093333333
flgM,0.106666667
flgA,0.108333333
flgB,0.138333333
flgC,0.12
flgD,0.163333333
flgE,0.068333333
flgF,0.121666667
flgG,0.08
flgH,0.105
flgI,0.126666667
flgJ,0.091666667
flgK,0.1
flgL,0.116666667
B1085,0.081666667
yceC,0.086666667
yceF,0.051666667
yceD,0.118333333
rpmF,0.091666667
plsX,0.056666667
fabH,0.04
fabD,0.048333333
fabG,0.09
acpP,0.116666667
yceG,0.043333333
tmk,0.065
holB,0.048333333
ycfH,0.08
ptsG,0.09
fhuE,0.031666667
ycfF,0.078333333
ycfL,0.08
ycfM,0.065
ycfN,0.09
ycfO,0.05
ycfP,0.073333333
ndh,0.055
ycfJ,0.086666667
ycfQ,0.07
ycfR,0.083333333
ycfS,0.083333333
mfd,0.043333333
ycfT,0.113333333
ycfU,0.071666667
ycfV,0.136666667
ycfW,0.07
ycfX,0.065
cobB,0.073333333
B1121,0.083333333
ymfA,0.116666667
potD,0
potC,0.108333333
potB,0.081666667
potA,0.073333333
pepT,0.08
ycfD,0.041666667
phoQ,0.175
phoP,0.055
purB,0.06
ycfC,0.041666667
ycfB,0.085
B1134,0.076666667
ymfC,0.08
icdA,0.085
ymfD,0.091666667
ymfE,0.103333333
lit,0.135
intE,0.141666667
B1141,0.131666667
ymfH,0.088333333
ymfI,0.095
ymfJ,0.078333333
B1145,0.091666667
B1146,0.12
ymfL,0.12
ymfM,0.108333333
ymfN,0.11
ymfR,0.123333333
ymfO,0.116666667
B1152,0
B1153,0.113333333
ycfK,0.141666667
B1155,0.105
