Gene,Half-life (h)
yhbO,3.113493882
rpsG,3.000944542
rluB,1.612143227
rplV,2.892450115
holE,0.741145347
groS,30.09440694
rplC,3.654752567
prlC,6.185640505
rpsQ,2.157914919
dsbC,4.876595106
mrcA,3.529398268
rpsO,0.606964885
mlaC,5.423037066
yhhW,41.76784274
rplA,4.517136883
rpsJ,2.008653848
pnp,3.6717357
yncE,34.10649619
slyA,0.103270719
dsbG,3.539494034
htpX,3.692095885
typA,4.878032347
yaeP,6830.331968
ridA,3.055930229
secF,177.1357225
rplS,3.462470446
tig,5.349665606
rcsB,2.944143289
gph,22.45039029
hrpA,7.394082429
mukE,10.85072025
yciN,13.66042109
erpA,0.658584946
rplL,15.13089536
frr,6.291331207
ftsY,11.38172609
yccU,1.924760485
rpsR,3.278925536
rpmA,4.063250582
phoU,2.792225838
yqfB,7.246659498
feoB,1.231818009
envC,26.43835538
atpH,4.905125888
dinJ,0.333854633
mrcB,15.39845783
ygfZ,129.5518259
ubiE,2.63388494
lptA,5.713660815
fepA,1169.751414
nusA,2.864017509
ydiE,4.821863156
rplO,3.017084998
rpsS,2.538672991
fes,3.403478394
hdeA,20.40710169
yhjD,3.919104797
cspB,0.143395775
rlmF,2.093888203
treA,1.521826532
cirA,12.79763377
ymdB,3.522933055
ydhZ,2.105511671
rplU,2.734593708
hemL,3.238312774
fhuE,3.609063004
rpsF,2.72870974
elaA,1.106185516
der,4.798255696
rcsD,13.51929917
ygiB,0.759688567
yebF,1.929851494
hchA,1.576733082
srmB,9.876556877
efp,2.481195143
rplI,1.243694903
rplQ,2.206939667
yibT,2.979241496
btuB,2.92678528
sodC,1.037894085
yeeX,9.284979698
sspA,3.221717806
yjgM,1.614420448
rplW,3.114730692
ftsI,2.25316981
mreB,28.63770373
fliC,0.123538249
rluC,4.484181599
rpsN,2.383957924
yggX,231.7019066
rplT,1.954549017
sbmC,1.269816796
yebC,6.565723807
degP,165.5748867
yajO,2.894417387
ynfB,3.959740396
rbfA,7.190824359
bamA,21.29927527
yfiF,11.32165913
clpS,0.260494922
ppiA,6.071112876
rplY,2.246926263
yedY,0.566426323
ahpF,24.31498886
yidQ,8.248432517
tatE,0.27069306
hslU,16.62095367
grxB,37.99790655
rplX,3.989739097
cheA,5.627772117
tatB,30.8883943
ycgN,54.26564842
yggL,2.917400177
exuR,3.900184002
entA,3.507322559
fepB,4311.262498
secG,2.707427125
tolC,6.070010689
yaiL,0.32443687
ydeI,3.076731485
yfgD,2.335165338
fliF,7.384097279
orn,24.75574808
rhlB,4.472938749
potF,11.77047324
phoA,1.412829191
uspA,7.383554106
hflK,83.41975712
mdoG,8.342491203
exbD,3.878513227
yfiB,8.758741809
exbB,8.481569548
hflC,4.656917505
ynhG,1.650689721
rimM,3.488417545
yedD,5.029016739
yhjJ,39.9464341
rpmH,2.410622637
rpmG,2.039707151
rpmB,2.089388389
yaeH,2.674646038
dacC,3.547554478
prfC,2.643402409
ppiC,4.339812755
speA,1.169931982
hns,2.7191498
yeiP,3.715161071
dacA,3.71077629
cspE,2.060464126
yiaF,19.33481777
secB,2.203164863
ybjI,3.848102657
rpsT,8.863460216
blc,1.326087382
dsbD,2.068270227
rnr,2.426494121
mukB,13.07098886
mdoB,0.76231067
yfgM,3.186060477
yacC,4.07993037
lolB,4.482977825
yohF,0.540308176
lpoB,9.533768392
ompA,1.723920026
allE,2.167704602
yjdC,11.08526191
lolA,2.982050156
dsbA,5.093969184
skp,13.54099293
surA,5.980091925
otsA,1.372069254
hflX,6.125311475
minE,47.4298852
rpmJ,2.09699631
yebY,22.38779427
csgG,1.905035366
yghA,4.655996732
ymbA,5.389212866
nfsA,10.1212761
