Gene,Half-life (h)
C7orf28A;CGI-43;C7orf28B,18.5
LASS2;RP11-316M1.2-003;TMSG1;RP11-316M1.2-004;RP11-316M1.2-002;hCG_37078;RP11-316M1.2-006;RP11-316M1.2-005,18.5
CHAF1B;CAF1A;CAF1P60;MPHOSPH7;MPP7,18.5
UBR2;C6orf133;KIAA0349,18.6
PEX19;HK33;PXF;OK/SW-cl.22;RP11-179G5.2-003,18.6
LIG1,18.6
AKT2,18.6
TXNDC14;TMX2;CGI-31;My009;PIG26;PSEC0045;UNQ237/PRO270,18.6
STAT3;APRF,18.6
RAB3A;RAB3C;RAB3B,18.6
LGMN;PRSC1,18.6
TOPBP1;KIAA0259,18.7
COBL;KIAA0633,18.7
ZWINT,18.7
NIP30;CDA10;CDA018,18.7
SUPT6H;KIAA0162;SPT6H,18.7
PPP1R2;IPP2;PPP1R2P3,18.7
SULT1A1;STP;STP1;OK/SW-cl.88;SULT1A2;STP2,18.7
FNDC3A;DKFZp686I166;FNDC3;KIAA0970,18.7
ARFGAP2;ZNF289;Nbla10535,18.8
NAT13;MAK3;NAT5,18.8
GIPC1;C19orf3;GIPC;RGS19IP1;hCG_27513,18.8
NGEF,18.8
ARMCX3;ALEX3;BM-017;UNQ2517/PRO6007,18.8
MED4;ARC36;DRIP36;VDRIP;HSPC126;RP11-90M2.2-003,18.8
YTHDF3,18.8
TYSND1,18.8
KIAA0319L;KIAA1837;PP791,18.8
SKT;KIAA1217;RP11-324E23.1-005;RP11-324E23.1-006,18.9
NUP160;KIAA0197;NUP120,18.9
HEXIM1;CLP1;EDG1;HIS1;MAQ1,18.9
VRK2,18.9
KIAA0515,18.9
ATP6V1H;CGI-11,18.9
HSPC111;hCG_1980223;CGI-117,18.9
SSNA1;NA14,18.9
INTS3;C1orf193;C1orf60,18.9
QRSL1,19
GATAD2B;KIAA1150,19
FBXO30;FBX30,19
USP19;KIAA0891;ZMYND9,19
ADI1;MTCBP1;HMFT1638,19
CDK5RAP1;C20orf34;CGI-05;HSPC167,19
PIP5K1C;KIAA0589;PIP5K1A,19
PICALM;CALM,19
ELP4;C11orf19;PAXNEB,19.1
BUB3;hCG_41421,19.1
NDUFA9;NDUFS2L,19.1
UBC;RPS27A;UBA80;UBCEP1;UBA52;UBCEP2;UBB;hCG_1998947,19.1
RRP15;KIAA0507;CGI-115,19.2
NAF1,19.2
APOL2,19.2
SRA1;PP7684,19.2
MPDZ;MUPP1,19.2
TIMM22;TEX4;TIM22,19.2
CIRH1A;KIAA1988,19.2
TRIM24;RNF82;TIF1;TIF1A,19.3
ACOX1;ACOX,19.3
CCDC12,19.3
BUD31;EDG2,19.3
GPKOW;GPATC5;GPATCH5;T54,19.3
FIBP,19.4
CDKN2A;CDKN2;MLM,19.4
