Protein,mRNA
37.93,7.01
90.16,10.63
51.42,5.33
149.16,6.25
23.95,6.13
37.58,6.83
50.31,12.84
22.55,9.26
29.55,7.58
59.31,10.85
85.43,NA
45.7,14.66
113.58,NA
71.1,8.22
32.53,13.97
164.08,11.53
13.98,NA
28.05,13.5
160.89,11.15
227.49,4.76
14.38,10.59
38.51,15.54
42.1,18.77
67.58,8.8
82.82,13.4
438.04,24.95
36.93,6.56
192.6,9.15
97.96,20.3
86.55,9.67
40.6,17.47
104.94,7.06
22.09,4.36
85.55,15.88
79.06,13.57
67.67,7.64
7.58,NA
322.48,8.79
52.32,9.3
11.98,16.51
189.29,15.17
163.72,10.99
59.38,6.89
181.98,8.14
2.87,33.14
76.73,10.5
34.65,7.7
2.25,9.94
85.06,11.27
128.46,NA
99.84,14.2
52.73,9.44
222.17,11.12
284.36,18.57
39.16,14.23
89.82,9.45
20.76,6
153.67,17.02
23.09,12.02
59.01,15.52
46.35,10.52
53.66,13.66
171.63,11.21
114.62,NA
61.8,16.25
30.41,13.18
216.79,13.65
35.58,13.84
84.04,11.37
14.38,NA
158.24,11.26
13.11,20.96
24.43,8.8
21.03,13.19
114.27,5.85
29.29,6.66
11.42,6.31
188.27,9.21
36.43,9.52
16.37,NA
420,3.9
57.37,8.41
58.25,8.13
133.24,9.55
35.27,11.41
36.37,5.52
216.81,18.74
21.75,10.06
68.82,11.36
39.47,8.11
19.71,9.55
38.3,11.83
74.27,11.14
78.11,12.12
8.18,8.72
65.28,8.42
195.41,8.22
63.19,11.26
55.96,6.89
77.36,13.34
174.77,6.84
55.4,5.11
8.69,6.74
39.27,14.67
9.27,7.73
113.11,9.53
40.49,10.11
57.38,19.26
50.97,13.39
50.64,14.02
48.84,18.35
41.88,4.17
17.02,15.28
45.13,13.42
71.08,14.79
172.55,16.98
93.78,NA
56.68,7.8
137.42,9.04
63.66,17.89
16.18,8.67
117.62,8.23
14.15,15.13
48.77,8.94
44.03,14.31
9.34,16.12
31.86,10.52
55.05,12.64
74.22,7.66
53.14,11.89
63.61,11.67
40.65,10.78
67.37,12.07
31.65,14.89
37.71,6.9
76.88,18.35
78.74,8.66
300.72,16.47
57.05,13.04
90.51,9.49
957.25,11.46
10.1,5.59
550.37,15.28
43.39,8.12
22.18,6.94
27.8,7.79
118.97,6.1
48.23,5.48
76.72,10.97
243.75,10.42
666.35,13.46
168.74,12.94
38.24,12.9
120.4,11.46
178.72,NA
6.25,16.34
45.31,14.38
36.3,10.89
223.6,13.91
273.04,NA
103.54,11.63
68.53,12.8
58.99,20.3
59.59,5.71
38.83,6.91
69.09,10.96
28.99,10.06
44.15,5.73
14.37,16.67
18.18,9.98
53.27,5.28
21.03,5.37
91.84,10.09
36.7,10.59
28.81,10.88
42.18,7.4
39.77,11.97
13.76,17.22
40.52,8.01
113.14,10.83
85.98,14.9
42.98,15.1
37.27,17.96
69.08,9.43
1750.4,11.51
133,6.56
36.04,15.5
22.93,8.37
47.61,18.74
123.67,9.82
49.83,13.08
37.34,8.89
124.1,6.34
34.01,20.7
12.04,7.01
68.26,12.33
96.16,5.71
31.22,8.35
27.73,NA
96.89,10.96
58.34,11.1
13.57,11.28
40.6,12.08
26.5,9.52
43.81,6.46
13.04,12.45
25.39,5.87
165.09,NA
25.85,13.3
11.74,15.29
