Gene,Half-life (h)
YDR528W,0.916666667
YDR530C,0.6
YDR532C,2.416666667
YDR533C,5
YDR538W,0.45
YDR539W,0.7
YDR540C,0.1
YEL001C,3.95
YEL003W,5
YEL004W,0.816666667
YEL005C,1.25
YEL006W,0.166666667
YEL007W,0.133333333
YEL008W,5.683333333
YEL009C,0.083333333
YEL012W,1.45
YEL013W,1.716666667
YEL015W,1.016666667
YEL016C,0.116666667
YEL017C-A,5
YEL017W,1.283333333
YEL018W,1.35
YEL019C,2.016666667
YEL022W,0.266666667
YEL029C,0.283333333
YEL031W,5
YEL032W,0.516666667
YEL039C,3.933333333
YEL040W,0.366666667
YEL041W,1.166666667
YEL042W,0.033333333
YEL043W,0.383333333
YEL044W,5
YEL046C,22.78333333
YEL047C,3.35
YEL048C,10.11666667
YEL050C,1.316666667
YEL052W,1.083333333
YEL054C,0.166666667
YEL055C,0.533333333
YEL058W,0.716666667
YEL060C,0.05
YEL061C,0.416666667
YEL062W,0.233333333
YEL063C,0.483333333
YEL066W,0.05
YEL070W,3.783333333
YEL071W,0.933333333
YER001W,3.583333333
YER002W,0.616666667
YER003C,0.483333333
YER005W,0.583333333
YER006W,12.3
YER007C-A,1.233333333
YER007W,0.366666667
YER008C,0.483333333
YER010C,0.35
YER011W,0.033333333
YER012W,18.85
YER013W,0.75
YER014W,2.516666667
YER015W,0.433333333
YER016W,0.933333333
YER017C,0.75
YER018C,2.783333333
YER019C-A,0.333333333
YER019W,0.966666667
YER020W,0.266666667
YER021W,0.383333333
YER022W,0.65
YER023W,5
YER024W,1.383333333
YER027C,0.566666667
YER029C,5
YER030W,5
YER031C,1.283333333
YER032W,0.05
YER034W,1
YER035W,0.866666667
YER036C,0.883333333
YER037W,0.6
YER038C,2.866666667
YER040W,0.05
YER041W,0.3
YER042W,2.416666667
YER044C,0.05
YER047C,0.566666667
YER049W,0.583333333
YER050C,1.1
YER051W,0.633333333
YER052C,1.3
YER053C-A,5
YER054C,0.666666667
YER056C,0.5
YER056C-A,1.7
YER057C,5
YER059W,0.866666667
YER061C,5
YER062C,5
YER063W,1.05
YER064C,0.033333333
YER067W,5
YER068W,0.416666667
YER070W,1.283333333
YER071C,1.116666667
YER073W,1.066666667
YER075C,0.633333333
YER077C,0.683333333
YER078C,0.466666667
YER079W,0.7
YER080W,0.666666667
YER081W,3.2
YER082C,0.9
YER084W,0.283333333
YER086W,0.733333333
YER087C-A,0.916666667
YER087W,0.05
YER088C,0.3
YER089C,1.666666667
YER090W,0.65
YER091C,0.633333333
YER092W,1.25
YER093C-A,19.63333333
YER095W,1
YER098W,0.15
YER099C,5
YER100W,0.433333333
YER101C,0.316666667
YER102W,1.633333333
YER103W,5
YER104W,0.05
YER105C,0.55
YER110C,2.166666667
YER111C,2.35
YER112W,3.616666667
YER114C,0.366666667
YER118C,1.583333333
YER120W,9.216666667
YER122C,0.933333333
YER123W,0.416666667
YER124C,0.033333333
YER126C,1.166666667
YER127W,0.516666667
YER128W,1.95
YER129W,4
YER131W,2.4
YER132C,0.05
YER133W,1.016666667
YER134C,5
YER136W,5
YER139C,1.533333333
YER141W,0.833333333
YER142C,5
YER143W,0.266666667
YER144C,0.233333333
YER145C,3.05
YER147C,2.266666667
YER149C,1.316666667
YER151C,0.75
YER152C,5
YER153C,1.383333333
YER155C,43.6
YER156C,5
YER157W,2.533333333
YER158C,0.05
YER159C,5
YER161C,0.433333333
YER162C,0.95
YER163C,1.116666667
YER164W,0.316666667
YER166W,5
YER168C,2.65
YER169W,0.916666667
YER170W,2.25
YER171W,0.516666667
YER172C,0.133333333
YER173W,0.25
YER174C,5
YER175C,5
YER178W,1.283333333
YER182W,1.183333333
YER183C,5
YER185W,0.55
YFL001W,1.3
YFL002C,0.483333333
YFL004W,0.433333333
YFL007W,0.1
YFL008W,0.416666667
YFL010C,1.533333333
YFL013C,0.4
YFL016C,0.883333333
YFL017C,0.416666667
YFL017W-A,4.95
YFL021W,0.35
YFL023W,0.216666667
YFL024C,1.416666667
YFL025C,1.15
YFL026W,0.15
YFL027C,0.916666667
YFL028C,3.65
YFL029C,2.35
YFL031W,0.2
YFL034C-A,5
YFL034C-B,0.3
YFL034W,1.066666667
YFL041W,0.15
YFL044C,1.15
YFL045C,0.65
YFL046W,1.05
YFL047W,1.95
YFL048C,0.216666667
YFL049W,0.05
YFL050C,0.05
YFL060C,1.216666667
YFL062W,1.916666667
YFR001W,5
YFR002W,0.583333333
YFR004W,2.3
YFR005C,0.116666667
YFR007W,1.133333333
YFR008W,0.6
YFR009W,0.783333333
YFR010W,1.383333333
YFR011C,0.883333333
YFR013W,1.45
YFR014C,1.85
YFR015C,0.6
YFR016C,1.983333333
YFR017C,5
YFR018C,10.7
YFR020W,0.816666667
YFR021W,2.333333333
YFR024C-A,0.283333333
YFR025C,1.983333333
YFR028C,0.333333333
YFR030W,0.883333333
YFR031C,0.683333333
YFR031C-A,4.283333333
YFR033C,2.433333333
YFR036W,0.033333333
YFR037C,1.233333333
YFR039C,0.1
YFR040W,0.7
YFR044C,1.366666667
YFR046C,0.983333333
YFR047C,3.983333333
YFR048W,0.033333333
YFR049W,27.13333333
YFR050C,5
YFR051C,0.816666667
YFR052W,5
YFR053C,0.816666667
YFR055W,0.5
YGL001C,2.566666667
YGL004C,0.883333333
YGL005C,5
YGL008C,0.75
YGL009C,0.483333333
YGL011C,1.216666667
YGL012W,3.3
YGL014W,0.366666667
YGL016W,1.333333333
YGL017W,7.383333333
YGL018C,0.766666667
YGL019W,0.283333333
YGL020C,0.3
YGL021W,3.066666667
YGL022W,0.316666667
YGL025C,0.35
YGL026C,0.483333333
YGL027C,0.516666667
YGL028C,5
YGL029W,0.6
YGL030W,2.433333333
YGL031C,1.883333333
YGL035C,0.583333333
YGL036W,0.1
YGL037C,5
YGL038C,0.1
