Gene,Half-life (h)
YCL016C,0.05013961
YCL017C,0.339812482
YCL018W,0.699965591
YCL021W-A,0.714586819
YCL024W,0.045412083
YCL025C,0.113000438
YCL026C-A,0.246812602
YCL026C-B,0.548418014
YCL027W,0.090043657
YCL028W,0.515437023
YCL029C,0.065231957
YCL030C,0.31882427
YCL031C,0.102633172
YCL032W,0.111120244
YCL033C,0.984394255
YCL034W,0.137412731
YCL035C,0.447631691
YCL036W,0.088776801
YCL037C,0.238459245
YCL038C,0.208782891
YCL039W,0.122793974
YCL040W,0.72667488
YCL042W,0.187797602
YCL043C,0.593245403
YCL044C,0.083038721
YCL045C,0.369299086
YCL047C,0.12817441
YCL048W,0.561506101
YCL049C,0.351480321
YCL050C,0.356724561
YCL051W,0.08506986
YCL052C,0.173411724
YCL054W,0.095483042
YCL055W,0.106022201
YCL056C,0.109071361
YCL057C-A,0.35443734
YCL057W,0.383626271
YCL058C,0.396851025
YCL059C,0.264348772
YCL061C,0.080091341
YCL063W,0.071749963
YCL064C,0.197428188
YCL066W,0.489707863
YCL068C,0.055333967
YCL069W,0.482042696
YCL073C,0.068284948
YCR002C,0.218068713
YCR003W,0.078329985
YCR004C,0.988325313
YCR005C,0.121883171
YCR007C,0.076227442
YCR008W,0.174859737
YCR009C,0.285042102
YCR010C,0.426137562
YCR011C,0.221828514
YCR012W,0.707223475
YCR014C,0.048312478
YCR015C,0.074977432
YCR016W,0.091524952
YCR017C,0.236353584
YCR018C,0.073874251
YCR019W,0.086598189
YCR020C,0.090853348
YCR020C-A,0.21819056
YCR020W-B,0.033277967
YCR021C,0.120421056
YCR023C,0.112342629
YCR024C,0.080178066
YCR024C-A,0.185164542
YCR024C-B,0.350093695
YCR026C,0.081221426
YCR027C,0.054772599
YCR028C,0.100490579
YCR028C-A,0.717935607
YCR030C,0.142481889
YCR031C,0.5878141
YCR032W,0.076840448
YCR033W,0.055140106
YCR034W,0.412785828
YCR035C,0.108963667
YCR036W,0.207379379
YCR037C,0.078133323
YCR038C,0.071359601
YCR042C,0.093579138
YCR043C,0.369314711
YCR044C,0.275770334
YCR045C,0.380213092
YCR046C,0.225284296
YCR047C,0.112204673
YCR048W,0.200050485
YCR051W,0.449100212
YCR052W,0.180512936
YCR053W,0.659621241
YCR054C,0.076020493
YCR057C,0.078310043
YCR059C,0.362230713
YCR060W,0.193234535
YCR061W,0.252983795
YCR063W,0.102959072
YCR065W,0.065198807
YCR066W,0.062178963
YCR067C,0.090252831
YCR068W,0.164446867
YCR069W,0.196931002
YCR071C,0.111750412
YCR072C,0.081374875
YCR073C,0.097248896
